Les codes hexas et unicode des caractères usuels, par Nicolas Hoffmann
Code unicode	Code hexa	En clair	Au clavier
&#998;	%3e6	Ϧ
&#999;	%3e7	ϧ
&#1000;	%3e8	Ϩ
&#1001;	%3e9	ϩ
&#1002;	%3ea	Ϫ
&#1003;	%3eb	ϫ
&#1004;	%3ec	Ϭ
&#1005;	%3ed	ϭ
&#1006;	%3ee	Ϯ
&#1007;	%3ef	ϯ
&#1008;	%3f0	ϰ
&#1009;	%3f1	ϱ
&#1010;	%3f2	ϲ
&#1011;	%3f3	ϳ
&#1012;	%3f4	ϴ
&#1013;	%3f5	ϵ
&#1014;	%3f6	϶
&#1015;	%3f7	Ϸ
&#1016;	%3f8	ϸ
&#1017;	%3f9	Ϲ
&#1018;	%3fa	Ϻ
&#1019;	%3fb	ϻ
&#1020;	%3fc	ϼ
&#1021;	%3fd	Ͻ
&#1022;	%3fe	Ͼ
&#1023;	%3ff	Ͽ
&#1024;	%400	Ѐ
&#1025;	%401	Ё
&#1026;	%402	Ђ
&#1027;	%403	Ѓ
&#1028;	%404	Є
&#1029;	%405	Ѕ
&#1030;	%406	І
&#1031;	%407	Ї
&#1032;	%408	Ј
&#1033;	%409	Љ
&#1034;	%40a	Њ
&#1035;	%40b	Ћ
&#1036;	%40c	Ќ
&#1037;	%40d	Ѝ
&#1038;	%40e	Ў
&#1039;	%40f	Џ
&#1040;	%410	А
&#1041;	%411	Б
&#1042;	%412	В
&#1043;	%413	Г
&#1044;	%414	Д
&#1045;	%415	Е
&#1046;	%416	Ж
&#1047;	%417	З
&#1048;	%418	И
&#1049;	%419	Й
&#1050;	%41a	К
&#1051;	%41b	Л
&#1052;	%41c	М
&#1053;	%41d	Н
&#1054;	%41e	О
&#1055;	%41f	П
&#1056;	%420	Р
&#1057;	%421	С
&#1058;	%422	Т
&#1059;	%423	У
&#1060;	%424	Ф
&#1061;	%425	Х
&#1062;	%426	Ц
&#1063;	%427	Ч
&#1064;	%428	Ш
&#1065;	%429	Щ
&#1066;	%42a	Ъ
&#1067;	%42b	Ы
&#1068;	%42c	Ь
&#1069;	%42d	Э
&#1070;	%42e	Ю
&#1071;	%42f	Я
&#1072;	%430	а
&#1073;	%431	б
&#1074;	%432	в
&#1075;	%433	г
&#1076;	%434	д
&#1077;	%435	е
&#1078;	%436	ж
&#1079;	%437	з
&#1080;	%438	и
&#1081;	%439	й
&#1082;	%43a	к
&#1083;	%43b	л
&#1084;	%43c	м
&#1085;	%43d	н
&#1086;	%43e	о
&#1087;	%43f	п
&#1088;	%440	р
&#1089;	%441	с
&#1090;	%442	т
&#1091;	%443	у
&#1092;	%444	ф
&#1093;	%445	х
&#1094;	%446	ц
&#1095;	%447	ч
&#1096;	%448	ш
&#1097;	%449	щ
&#1098;	%44a	ъ
&#1099;	%44b	ы
&#1100;	%44c	ь
&#1101;	%44d	э
&#1102;	%44e	ю
&#1103;	%44f	я
&#1104;	%450	ѐ
&#1105;	%451	ё
&#1106;	%452	ђ
&#1107;	%453	ѓ
&#1108;	%454	є
&#1109;	%455	ѕ
&#1110;	%456	і
&#1111;	%457	ї
&#1112;	%458	ј
&#1113;	%459	љ
&#1114;	%45a	њ
&#1115;	%45b	ћ
&#1116;	%45c	ќ
&#1117;	%45d	ѝ
&#1118;	%45e	ў
&#1119;	%45f	џ
&#1120;	%460	Ѡ
&#1121;	%461	ѡ
&#1122;	%462	Ѣ
&#1123;	%463	ѣ
&#1124;	%464	Ѥ
&#1125;	%465	ѥ
&#1126;	%466	Ѧ
&#1127;	%467	ѧ
&#1128;	%468	Ѩ
&#1129;	%469	ѩ
&#1130;	%46a	Ѫ
&#1131;	%46b	ѫ
&#1132;	%46c	Ѭ
&#1133;	%46d	ѭ
&#1134;	%46e	Ѯ
&#1135;	%46f	ѯ
&#1136;	%470	Ѱ
&#1137;	%471	ѱ
&#1138;	%472	Ѳ
&#1139;	%473	ѳ
&#1140;	%474	Ѵ
&#1141;	%475	ѵ
&#1142;	%476	Ѷ
&#1143;	%477	ѷ
&#1144;	%478	Ѹ
&#1145;	%479	ѹ
&#1146;	%47a	Ѻ
&#1147;	%47b	ѻ
&#1148;	%47c	Ѽ
&#1149;	%47d	ѽ
&#1150;	%47e	Ѿ
&#1151;	%47f	ѿ
&#1152;	%480	Ҁ
&#1153;	%481	ҁ
&#1154;	%482	҂
&#1155;	%483	҃
&#1156;	%484	҄
&#1157;	%485	҅
&#1158;	%486	҆
&#1159;	%487	҇
&#1160;	%488	҈
&#1161;	%489	҉
&#1162;	%48a	Ҋ
&#1163;	%48b	ҋ
&#1164;	%48c	Ҍ
&#1165;	%48d	ҍ
&#1166;	%48e	Ҏ
&#1167;	%48f	ҏ
&#1168;	%490	Ґ
&#1169;	%491	ґ
&#1170;	%492	Ғ
&#1171;	%493	ғ
&#1172;	%494	Ҕ
&#1173;	%495	ҕ
&#1174;	%496	Җ
&#1175;	%497	җ
&#1176;	%498	Ҙ
&#1177;	%499	ҙ
&#1178;	%49a	Қ
&#1179;	%49b	қ
&#1180;	%49c	Ҝ
&#1181;	%49d	ҝ
&#1182;	%49e	Ҟ
&#1183;	%49f	ҟ
&#1184;	%4a0	Ҡ
&#1185;	%4a1	ҡ
&#1186;	%4a2	Ң
&#1187;	%4a3	ң
&#1188;	%4a4	Ҥ
&#1189;	%4a5	ҥ
&#1190;	%4a6	Ҧ
&#1191;	%4a7	ҧ
&#1192;	%4a8	Ҩ
&#1193;	%4a9	ҩ
&#1194;	%4aa	Ҫ
&#1195;	%4ab	ҫ
&#1196;	%4ac	Ҭ
&#1197;	%4ad	ҭ
&#1198;	%4ae	Ү
&#1199;	%4af	ү
&#1200;	%4b0	Ұ
&#1201;	%4b1	ұ
&#1202;	%4b2	Ҳ
&#1203;	%4b3	ҳ
&#1204;	%4b4	Ҵ
&#1205;	%4b5	ҵ
&#1206;	%4b6	Ҷ
&#1207;	%4b7	ҷ
&#1208;	%4b8	Ҹ
&#1209;	%4b9	ҹ
&#1210;	%4ba	Һ
&#1211;	%4bb	һ
&#1212;	%4bc	Ҽ
&#1213;	%4bd	ҽ
&#1214;	%4be	Ҿ
&#1215;	%4bf	ҿ
&#1216;	%4c0	Ӏ
&#1217;	%4c1	Ӂ
&#1218;	%4c2	ӂ
&#1219;	%4c3	Ӄ
&#1220;	%4c4	ӄ
&#1221;	%4c5	Ӆ
&#1222;	%4c6	ӆ
&#1223;	%4c7	Ӈ
&#1224;	%4c8	ӈ
&#1225;	%4c9	Ӊ
&#1226;	%4ca	ӊ
&#1227;	%4cb	Ӌ
&#1228;	%4cc	ӌ
&#1229;	%4cd	Ӎ
&#1230;	%4ce	ӎ
&#1231;	%4cf	ӏ
&#1232;	%4d0	Ӑ
&#1233;	%4d1	ӑ
&#1234;	%4d2	Ӓ
&#1235;	%4d3	ӓ
&#1236;	%4d4	Ӕ
&#1237;	%4d5	ӕ
&#1238;	%4d6	Ӗ
&#1239;	%4d7	ӗ
&#1240;	%4d8	Ә
&#1241;	%4d9	ә
&#1242;	%4da	Ӛ
&#1243;	%4db	ӛ
&#1244;	%4dc	Ӝ
&#1245;	%4dd	ӝ
&#1246;	%4de	Ӟ
&#1247;	%4df	ӟ
&#1248;	%4e0	Ӡ
&#1249;	%4e1	ӡ
&#1250;	%4e2	Ӣ
&#1251;	%4e3	ӣ
&#1252;	%4e4	Ӥ
&#1253;	%4e5	ӥ
&#1254;	%4e6	Ӧ
&#1255;	%4e7	ӧ
&#1256;	%4e8	Ө
&#1257;	%4e9	ө
&#1258;	%4ea	Ӫ
&#1259;	%4eb	ӫ
&#1260;	%4ec	Ӭ
&#1261;	%4ed	ӭ
&#1262;	%4ee	Ӯ
&#1263;	%4ef	ӯ
&#1264;	%4f0	Ӱ
&#1265;	%4f1	ӱ
&#1266;	%4f2	Ӳ
&#1267;	%4f3	ӳ
&#1268;	%4f4	Ӵ
&#1269;	%4f5	ӵ
&#1270;	%4f6	Ӷ
&#1271;	%4f7	ӷ
&#1272;	%4f8	Ӹ
&#1273;	%4f9	ӹ
&#1274;	%4fa	Ӻ
&#1275;	%4fb	ӻ
&#1276;	%4fc	Ӽ
&#1277;	%4fd	ӽ
&#1278;	%4fe	Ӿ
&#1279;	%4ff	ӿ
&#1280;	%500	Ԁ
&#1281;	%501	ԁ
&#1282;	%502	Ԃ
&#1283;	%503	ԃ
&#1284;	%504	Ԅ
&#1285;	%505	ԅ
&#1286;	%506	Ԇ
&#1287;	%507	ԇ
&#1288;	%508	Ԉ
&#1289;	%509	ԉ
&#1290;	%50a	Ԋ
&#1291;	%50b	ԋ
&#1292;	%50c	Ԍ
&#1293;	%50d	ԍ
&#1294;	%50e	Ԏ
&#1295;	%50f	ԏ
&#1296;	%510	Ԑ
&#1297;	%511	ԑ
&#1298;	%512	Ԓ
&#1299;	%513	ԓ
&#1300;	%514	Ԕ
&#1301;	%515	ԕ
&#1302;	%516	Ԗ
&#1303;	%517	ԗ
&#1304;	%518	Ԙ
&#1305;	%519	ԙ
&#1306;	%51a	Ԛ
&#1307;	%51b	ԛ
&#1308;	%51c	Ԝ
&#1309;	%51d	ԝ
&#1310;	%51e	Ԟ
&#1311;	%51f	ԟ
&#1312;	%520	Ԡ
&#1313;	%521	ԡ
&#1314;	%522	Ԣ
&#1315;	%523	ԣ
&#1316;	%524	Ԥ
&#1317;	%525	ԥ
&#1318;	%526	Ԧ
&#1319;	%527	ԧ
&#1320;	%528	Ԩ
&#1321;	%529	ԩ
&#1322;	%52a	Ԫ
&#1323;	%52b	ԫ
&#1324;	%52c	Ԭ
&#1325;	%52d	ԭ
&#1326;	%52e	Ԯ
&#1327;	%52f	ԯ
&#1328;	%530	԰
&#1329;	%531	Ա
&#1330;	%532	Բ
&#1331;	%533	Գ
&#1332;	%534	Դ
&#1333;	%535	Ե
&#1334;	%536	Զ
&#1335;	%537	Է
&#1336;	%538	Ը
&#1337;	%539	Թ
&#1338;	%53a	Ժ
&#1339;	%53b	Ի
&#1340;	%53c	Լ
&#1341;	%53d	Խ
&#1342;	%53e	Ծ
&#1343;	%53f	Կ
&#1344;	%540	Հ
&#1345;	%541	Ձ
&#1346;	%542	Ղ
&#1347;	%543	Ճ
&#1348;	%544	Մ
&#1349;	%545	Յ
&#1350;	%546	Ն
&#1351;	%547	Շ
&#1352;	%548	Ո
&#1353;	%549	Չ
&#1354;	%54a	Պ
&#1355;	%54b	Ջ
&#1356;	%54c	Ռ
&#1357;	%54d	Ս
&#1358;	%54e	Վ
&#1359;	%54f	Տ
&#1360;	%550	Ր
&#1361;	%551	Ց
&#1362;	%552	Ւ
&#1363;	%553	Փ
&#1364;	%554	Ք
&#1365;	%555	Օ
&#1366;	%556	Ֆ
&#1367;	%557	՗
&#1368;	%558	՘
&#1369;	%559	ՙ
&#1370;	%55a	՚
&#1371;	%55b	՛
&#1372;	%55c	՜
&#1373;	%55d	՝
&#1374;	%55e	՞
&#1375;	%55f	՟
&#1376;	%560	ՠ
&#1377;	%561	ա
&#1378;	%562	բ
&#1379;	%563	գ
&#1380;	%564	դ
&#1381;	%565	ե
&#1382;	%566	զ
&#1383;	%567	է
&#1384;	%568	ը
&#1385;	%569	թ
&#1386;	%56a	ժ
&#1387;	%56b	ի
&#1388;	%56c	լ
&#1389;	%56d	խ
&#1390;	%56e	ծ
&#1391;	%56f	կ
&#1392;	%570	հ
&#1393;	%571	ձ
&#1394;	%572	ղ
&#1395;	%573	ճ
&#1396;	%574	մ
&#1397;	%575	յ
&#1398;	%576	ն
&#1399;	%577	շ
&#1400;	%578	ո
&#1401;	%579	չ
&#1402;	%57a	պ
&#1403;	%57b	ջ
&#1404;	%57c	ռ
&#1405;	%57d	ս
&#1406;	%57e	վ
&#1407;	%57f	տ
&#1408;	%580	ր
&#1409;	%581	ց
&#1410;	%582	ւ
&#1411;	%583	փ
&#1412;	%584	ք
&#1413;	%585	օ
&#1414;	%586	ֆ
&#1415;	%587	և
&#1416;	%588	ֈ
&#1417;	%589	։
&#1418;	%58a	֊
&#1419;	%58b	֋
&#1420;	%58c	֌
&#1421;	%58d	֍
&#1422;	%58e	֎
&#1423;	%58f	֏
&#1424;	%590	֐
&#1425;	%591	֑
&#1426;	%592	֒
&#1427;	%593	֓
&#1428;	%594	֔
&#1429;	%595	֕
&#1430;	%596	֖
&#1431;	%597	֗
&#1432;	%598	֘
&#1433;	%599	֙
&#1434;	%59a	֚
&#1435;	%59b	֛
&#1436;	%59c	֜
&#1437;	%59d	֝
&#1438;	%59e	֞
&#1439;	%59f	֟
&#1440;	%5a0	֠
&#1441;	%5a1	֡
&#1442;	%5a2	֢
&#1443;	%5a3	֣
&#1444;	%5a4	֤
&#1445;	%5a5	֥
&#1446;	%5a6	֦
&#1447;	%5a7	֧
&#1448;	%5a8	֨
&#1449;	%5a9	֩
&#1450;	%5aa	֪
&#1451;	%5ab	֫
&#1452;	%5ac	֬
&#1453;	%5ad	֭
&#1454;	%5ae	֮
&#1455;	%5af	֯
&#1456;	%5b0	ְ
&#1457;	%5b1	ֱ
&#1458;	%5b2	ֲ
&#1459;	%5b3	ֳ
&#1460;	%5b4	ִ
&#1461;	%5b5	ֵ
&#1462;	%5b6	ֶ
&#1463;	%5b7	ַ
&#1464;	%5b8	ָ
&#1465;	%5b9	ֹ
&#1466;	%5ba	ֺ
&#1467;	%5bb	ֻ
&#1468;	%5bc	ּ
&#1469;	%5bd	ֽ
&#1470;	%5be	־
&#1471;	%5bf	ֿ
&#1472;	%5c0	׀
&#1473;	%5c1	ׁ
&#1474;	%5c2	ׂ
&#1475;	%5c3	׃
&#1476;	%5c4	ׄ
&#1477;	%5c5	ׅ
&#1478;	%5c6	׆
&#1479;	%5c7	ׇ
&#1480;	%5c8	׈
&#1481;	%5c9	׉
&#1482;	%5ca	׊
&#1483;	%5cb	׋
&#1484;	%5cc	׌
&#1485;	%5cd	׍
&#1486;	%5ce	׎
&#1487;	%5cf	׏
&#1488;	%5d0	א
&#1489;	%5d1	ב
&#1490;	%5d2	ג
&#1491;	%5d3	ד
&#1492;	%5d4	ה
&#1493;	%5d5	ו
&#1494;	%5d6	ז
&#1495;	%5d7	ח
&#1496;	%5d8	ט
&#1497;	%5d9	י
&#1498;	%5da	ך
&#1499;	%5db	כ
&#1500;	%5dc	ל
&#1501;	%5dd	ם
&#1502;	%5de	מ
&#1503;	%5df	ן
&#1504;	%5e0	נ
&#1505;	%5e1	ס
&#1506;	%5e2	ע
&#1507;	%5e3	ף
&#1508;	%5e4	פ
&#1509;	%5e5	ץ
&#1510;	%5e6	צ
&#1511;	%5e7	ק
&#1512;	%5e8	ר
&#1513;	%5e9	ש
&#1514;	%5ea	ת
&#1515;	%5eb	׫
&#1516;	%5ec	׬
&#1517;	%5ed	׭
&#1518;	%5ee	׮
&#1519;	%5ef	ׯ
&#1520;	%5f0	װ
&#1521;	%5f1	ױ
&#1522;	%5f2	ײ
&#1523;	%5f3	׳
&#1524;	%5f4	״
&#1525;	%5f5	׵
&#1526;	%5f6	׶
&#1527;	%5f7	׷
&#1528;	%5f8	׸
&#1529;	%5f9	׹
&#1530;	%5fa	׺
&#1531;	%5fb	׻
&#1532;	%5fc	׼
&#1533;	%5fd	׽
&#1534;	%5fe	׾
&#1535;	%5ff	׿
&#1536;	%600	؀
&#1537;	%601	؁
&#1538;	%602	؂
&#1539;	%603	؃
&#1540;	%604	؄
&#1541;	%605	؅
&#1542;	%606	؆
&#1543;	%607	؇
&#1544;	%608	؈
&#1545;	%609	؉
&#1546;	%60a	؊
&#1547;	%60b	؋
&#1548;	%60c	،
&#1549;	%60d	؍
&#1550;	%60e	؎
&#1551;	%60f	؏
&#1552;	%610	ؐ
&#1553;	%611	ؑ
&#1554;	%612	ؒ
&#1555;	%613	ؓ
&#1556;	%614	ؔ
&#1557;	%615	ؕ
&#1558;	%616	ؖ
&#1559;	%617	ؗ
&#1560;	%618	ؘ
&#1561;	%619	ؙ
&#1562;	%61a	ؚ
&#1563;	%61b	؛
&#1564;	%61c	؜
&#1565;	%61d	؝
&#1566;	%61e	؞
&#1567;	%61f	؟
&#1568;	%620	ؠ
&#1569;	%621	ء
&#1570;	%622	آ
&#1571;	%623	أ
&#1572;	%624	ؤ
&#1573;	%625	إ
&#1574;	%626	ئ
&#1575;	%627	ا
&#1576;	%628	ب
&#1577;	%629	ة
&#1578;	%62a	ت
&#1579;	%62b	ث
&#1580;	%62c	ج
&#1581;	%62d	ح
&#1582;	%62e	خ
&#1583;	%62f	د
&#1584;	%630	ذ
&#1585;	%631	ر
&#1586;	%632	ز
&#1587;	%633	س
&#1588;	%634	ش
&#1589;	%635	ص
&#1590;	%636	ض
&#1591;	%637	ط
&#1592;	%638	ظ
&#1593;	%639	ع
&#1594;	%63a	غ
&#1595;	%63b	ػ
&#1596;	%63c	ؼ
&#1597;	%63d	ؽ
&#1598;	%63e	ؾ
&#1599;	%63f	ؿ
&#1600;	%640	ـ
&#1601;	%641	ف
&#1602;	%642	ق
&#1603;	%643	ك
&#1604;	%644	ل
&#1605;	%645	م
&#1606;	%646	ن
&#1607;	%647	ه
&#1608;	%648	و
&#1609;	%649	ى
&#1610;	%64a	ي
&#1611;	%64b	ً
&#1612;	%64c	ٌ
&#1613;	%64d	ٍ
&#1614;	%64e	َ
&#1615;	%64f	ُ
&#1616;	%650	ِ
&#1617;	%651	ّ
&#1618;	%652	ْ
&#1619;	%653	ٓ
&#1620;	%654	ٔ
&#1621;	%655	ٕ
&#1622;	%656	ٖ
&#1623;	%657	ٗ
&#1624;	%658	٘
&#1625;	%659	ٙ
&#1626;	%65a	ٚ
&#1627;	%65b	ٛ
&#1628;	%65c	ٜ
&#1629;	%65d	ٝ
&#1630;	%65e	ٞ
&#1631;	%65f	ٟ
&#1632;	%660	٠
&#1633;	%661	١
&#1634;	%662	٢
&#1635;	%663	٣
&#1636;	%664	٤
&#1637;	%665	٥
&#1638;	%666	٦
&#1639;	%667	٧
&#1640;	%668	٨
&#1641;	%669	٩
&#1642;	%66a	٪
&#1643;	%66b	٫
&#1644;	%66c	٬
&#1645;	%66d	٭
&#1646;	%66e	ٮ
&#1647;	%66f	ٯ
&#1648;	%670	ٰ
&#1649;	%671	ٱ
&#1650;	%672	ٲ
&#1651;	%673	ٳ
&#1652;	%674	ٴ
&#1653;	%675	ٵ
&#1654;	%676	ٶ
&#1655;	%677	ٷ
&#1656;	%678	ٸ
&#1657;	%679	ٹ
&#1658;	%67a	ٺ
&#1659;	%67b	ٻ
&#1660;	%67c	ټ
&#1661;	%67d	ٽ
&#1662;	%67e	پ
&#1663;	%67f	ٿ
&#1664;	%680	ڀ
&#1665;	%681	ځ
&#1666;	%682	ڂ
&#1667;	%683	ڃ
&#1668;	%684	ڄ
&#1669;	%685	څ
&#1670;	%686	چ
&#1671;	%687	ڇ
&#1672;	%688	ڈ
&#1673;	%689	ډ
&#1674;	%68a	ڊ
&#1675;	%68b	ڋ
&#1676;	%68c	ڌ
&#1677;	%68d	ڍ
&#1678;	%68e	ڎ
&#1679;	%68f	ڏ
&#1680;	%690	ڐ
&#1681;	%691	ڑ
&#1682;	%692	ڒ
&#1683;	%693	ړ
&#1684;	%694	ڔ
&#1685;	%695	ڕ
&#1686;	%696	ږ
&#1687;	%697	ڗ
&#1688;	%698	ژ
&#1689;	%699	ڙ
&#1690;	%69a	ښ
&#1691;	%69b	ڛ
&#1692;	%69c	ڜ
&#1693;	%69d	ڝ
&#1694;	%69e	ڞ
&#1695;	%69f	ڟ
&#1696;	%6a0	ڠ
&#1697;	%6a1	ڡ
&#1698;	%6a2	ڢ
&#1699;	%6a3	ڣ
&#1700;	%6a4	ڤ
&#1701;	%6a5	ڥ
&#1702;	%6a6	ڦ
&#1703;	%6a7	ڧ
&#1704;	%6a8	ڨ
&#1705;	%6a9	ک
&#1706;	%6aa	ڪ
&#1707;	%6ab	ګ
&#1708;	%6ac	ڬ
&#1709;	%6ad	ڭ
&#1710;	%6ae	ڮ
&#1711;	%6af	گ
&#1712;	%6b0	ڰ
&#1713;	%6b1	ڱ
&#1714;	%6b2	ڲ
&#1715;	%6b3	ڳ
&#1716;	%6b4	ڴ
&#1717;	%6b5	ڵ
&#1718;	%6b6	ڶ
&#1719;	%6b7	ڷ
&#1720;	%6b8	ڸ
&#1721;	%6b9	ڹ
&#1722;	%6ba	ں
&#1723;	%6bb	ڻ
&#1724;	%6bc	ڼ
&#1725;	%6bd	ڽ
&#1726;	%6be	ھ
&#1727;	%6bf	ڿ
&#1728;	%6c0	ۀ
&#1729;	%6c1	ہ
&#1730;	%6c2	ۂ
&#1731;	%6c3	ۃ
&#1732;	%6c4	ۄ
&#1733;	%6c5	ۅ
&#1734;	%6c6	ۆ
&#1735;	%6c7	ۇ
&#1736;	%6c8	ۈ
&#1737;	%6c9	ۉ
&#1738;	%6ca	ۊ
&#1739;	%6cb	ۋ
&#1740;	%6cc	ی
&#1741;	%6cd	ۍ
&#1742;	%6ce	ێ
&#1743;	%6cf	ۏ
&#1744;	%6d0	ې
&#1745;	%6d1	ۑ
&#1746;	%6d2	ے
&#1747;	%6d3	ۓ
&#1748;	%6d4	۔
&#1749;	%6d5	ە
&#1750;	%6d6	ۖ
&#1751;	%6d7	ۗ
&#1752;	%6d8	ۘ
&#1753;	%6d9	ۙ
&#1754;	%6da	ۚ
&#1755;	%6db	ۛ
&#1756;	%6dc	ۜ
&#1757;	%6dd	۝
&#1758;	%6de	۞
&#1759;	%6df	۟
&#1760;	%6e0	۠
&#1761;	%6e1	ۡ
&#1762;	%6e2	ۢ
&#1763;	%6e3	ۣ
&#1764;	%6e4	ۤ
&#1765;	%6e5	ۥ
&#1766;	%6e6	ۦ
&#1767;	%6e7	ۧ
&#1768;	%6e8	ۨ
&#1769;	%6e9	۩
&#1770;	%6ea	۪
&#1771;	%6eb	۫
&#1772;	%6ec	۬
&#1773;	%6ed	ۭ
&#1774;	%6ee	ۮ
&#1775;	%6ef	ۯ
&#1776;	%6f0	۰
&#1777;	%6f1	۱
&#1778;	%6f2	۲
&#1779;	%6f3	۳
&#1780;	%6f4	۴
&#1781;	%6f5	۵
&#1782;	%6f6	۶
&#1783;	%6f7	۷
&#1784;	%6f8	۸
&#1785;	%6f9	۹
&#1786;	%6fa	ۺ
&#1787;	%6fb	ۻ
&#1788;	%6fc	ۼ
&#1789;	%6fd	۽
&#1790;	%6fe	۾
&#1791;	%6ff	ۿ
&#1792;	%700	܀
&#1793;	%701	܁
&#1794;	%702	܂
&#1795;	%703	܃
&#1796;	%704	܄
&#1797;	%705	܅
&#1798;	%706	܆
&#1799;	%707	܇
&#1800;	%708	܈
&#1801;	%709	܉
&#1802;	%70a	܊
&#1803;	%70b	܋
&#1804;	%70c	܌
&#1805;	%70d	܍
&#1806;	%70e	܎
&#1807;	%70f	܏
&#1808;	%710	ܐ
&#1809;	%711	ܑ
&#1810;	%712	ܒ
&#1811;	%713	ܓ
&#1812;	%714	ܔ
&#1813;	%715	ܕ
&#1814;	%716	ܖ
&#1815;	%717	ܗ
&#1816;	%718	ܘ
&#1817;	%719	ܙ
&#1818;	%71a	ܚ
&#1819;	%71b	ܛ
&#1820;	%71c	ܜ
&#1821;	%71d	ܝ
&#1822;	%71e	ܞ
&#1823;	%71f	ܟ
&#1824;	%720	ܠ
&#1825;	%721	ܡ
&#1826;	%722	ܢ
&#1827;	%723	ܣ
&#1828;	%724	ܤ
&#1829;	%725	ܥ
&#1830;	%726	ܦ
&#1831;	%727	ܧ
&#1832;	%728	ܨ
&#1833;	%729	ܩ
&#1834;	%72a	ܪ
&#1835;	%72b	ܫ
&#1836;	%72c	ܬ
&#1837;	%72d	ܭ
&#1838;	%72e	ܮ
&#1839;	%72f	ܯ
&#1840;	%730	ܰ
&#1841;	%731	ܱ
&#1842;	%732	ܲ
&#1843;	%733	ܳ
&#1844;	%734	ܴ
&#1845;	%735	ܵ
&#1846;	%736	ܶ
&#1847;	%737	ܷ
&#1848;	%738	ܸ
&#1849;	%739	ܹ
&#1850;	%73a	ܺ
&#1851;	%73b	ܻ
&#1852;	%73c	ܼ
&#1853;	%73d	ܽ
&#1854;	%73e	ܾ
&#1855;	%73f	ܿ
&#1856;	%740	݀
&#1857;	%741	݁
&#1858;	%742	݂
&#1859;	%743	݃
&#1860;	%744	݄
&#1861;	%745	݅
&#1862;	%746	݆
&#1863;	%747	݇
&#1864;	%748	݈
&#1865;	%749	݉
&#1866;	%74a	݊
&#1867;	%74b	݋
&#1868;	%74c	݌
&#1869;	%74d	ݍ
&#1870;	%74e	ݎ
&#1871;	%74f	ݏ
&#1872;	%750	ݐ
&#1873;	%751	ݑ
&#1874;	%752	ݒ
&#1875;	%753	ݓ
&#1876;	%754	ݔ
&#1877;	%755	ݕ
&#1878;	%756	ݖ
&#1879;	%757	ݗ
&#1880;	%758	ݘ
&#1881;	%759	ݙ
&#1882;	%75a	ݚ
&#1883;	%75b	ݛ
&#1884;	%75c	ݜ
&#1885;	%75d	ݝ
&#1886;	%75e	ݞ
&#1887;	%75f	ݟ
&#1888;	%760	ݠ
&#1889;	%761	ݡ
&#1890;	%762	ݢ
&#1891;	%763	ݣ
&#1892;	%764	ݤ
&#1893;	%765	ݥ
&#1894;	%766	ݦ
&#1895;	%767	ݧ
&#1896;	%768	ݨ
&#1897;	%769	ݩ
&#1898;	%76a	ݪ
&#1899;	%76b	ݫ
&#1900;	%76c	ݬ
&#1901;	%76d	ݭ
&#1902;	%76e	ݮ
&#1903;	%76f	ݯ
&#1904;	%770	ݰ
&#1905;	%771	ݱ
&#1906;	%772	ݲ
&#1907;	%773	ݳ
&#1908;	%774	ݴ
&#1909;	%775	ݵ
&#1910;	%776	ݶ
&#1911;	%777	ݷ
&#1912;	%778	ݸ
&#1913;	%779	ݹ
&#1914;	%77a	ݺ
&#1915;	%77b	ݻ
&#1916;	%77c	ݼ
&#1917;	%77d	ݽ
&#1918;	%77e	ݾ
&#1919;	%77f	ݿ
&#1920;	%780	ހ
&#1921;	%781	ށ
&#1922;	%782	ނ
&#1923;	%783	ރ
&#1924;	%784	ބ
&#1925;	%785	ޅ
&#1926;	%786	ކ
&#1927;	%787	އ
&#1928;	%788	ވ
&#1929;	%789	މ
&#1930;	%78a	ފ
&#1931;	%78b	ދ
&#1932;	%78c	ތ
&#1933;	%78d	ލ
&#1934;	%78e	ގ
&#1935;	%78f	ޏ
&#1936;	%790	ސ
&#1937;	%791	ޑ
&#1938;	%792	ޒ
&#1939;	%793	ޓ
&#1940;	%794	ޔ
&#1941;	%795	ޕ
&#1942;	%796	ޖ
&#1943;	%797	ޗ
&#1944;	%798	ޘ
&#1945;	%799	ޙ
&#1946;	%79a	ޚ
&#1947;	%79b	ޛ
&#1948;	%79c	ޜ
&#1949;	%79d	ޝ
&#1950;	%79e	ޞ
&#1951;	%79f	ޟ
&#1952;	%7a0	ޠ
&#1953;	%7a1	ޡ
&#1954;	%7a2	ޢ
&#1955;	%7a3	ޣ
&#1956;	%7a4	ޤ
&#1957;	%7a5	ޥ
&#1958;	%7a6	ަ
&#1959;	%7a7	ާ
&#1960;	%7a8	ި
&#1961;	%7a9	ީ
&#1962;	%7aa	ު
&#1963;	%7ab	ޫ
&#1964;	%7ac	ެ
&#1965;	%7ad	ޭ
&#1966;	%7ae	ޮ
&#1967;	%7af	ޯ
&#1968;	%7b0	ް
&#1969;	%7b1	ޱ
&#1970;	%7b2	޲
&#1971;	%7b3	޳
&#1972;	%7b4	޴
&#1973;	%7b5	޵
&#1974;	%7b6	޶
&#1975;	%7b7	޷
&#1976;	%7b8	޸
&#1977;	%7b9	޹
&#1978;	%7ba	޺
&#1979;	%7bb	޻
&#1980;	%7bc	޼
&#1981;	%7bd	޽
&#1982;	%7be	޾
&#1983;	%7bf	޿
